message,EN,ES,FR,DE
block_msg_half,"You are halfway through the task.

Please, have a break of at least 1 minute.

The task will resume automatically after a couple of minutes.","Vas por la mitad de la tarea.

Por favor, tómate un descanso de al menos 1 minuto.

La tarea procederá automáticamente en un par de minutos.","Vous êtes à mi-chemin de la tâche.

Veuillez faire une pause d'au moins 1 minute.

La tâche reprendra automatiquement après quelques minutes.","Sie haben die Hälfte der Aufgabe erreicht.

Bitte machen Sie eine Pause von mindestens 1 Minute.

Die Aufgabe wird nach ein paar Minuten automatisch fortgesetzt."
block_msg_standard,"You have finished the block.

Take a moment to have a break before proceeding.

The task will resume automatically after 1 minute.

You may proceed before if you want. Wait for a message to appear below.","Has terminado el bloque.

Tómate un momento para descansar.

La tarea procederá automáticamente en 1 minuto.

Puedes continuar antes si lo deseas. Espera a que aparezca el mensaje de abajo.","Vous avez terminé le bloc.

Prenez un moment pour faire une pause avant de continuer.

La tâche reprendra automatiquement après 1 minute.

Vous pouvez continuer avant si vous le souhaitez. Attendez qu'un message apparaisse ci-dessous.","Sie haben den Block beendet.

Nehmen Sie sich einen Moment Zeit für eine Pause, bevor Sie fortfahren.

Die Aufgabe wird nach 1 Minute automatisch fortgesetzt.

Sie können auch früher fortfahren, wenn Sie möchten. Warten Sie auf eine unten erscheinende Meldung."
block_msg,Block,Bloque,Bloc,Block
out_of_msg,out of,de ,sur,von
block_end_msg,End of block,Final del bloque,Fin du bloc,Ende des Blocks
proceed_task_msg,Proceed to task,Continuar a la tarea,Passer à la tâche,Zur Aufgabe fortfahren
handedness_msg,What is your preferred or dominant hand?,¿Cuál es tu mano preferida o dominante?,Quelle est votre main préférée ou dominante ?,Welche Hand ist Ihre bevorzugte oder dominante Hand?
left_handed_msg,Left,Izquierda,Gauche,Links
right_handed_msg,Right,Derecha,Droite,Rechts
correct_exe_msg,Sequence correct!,Secuencia correcta!,Séquence correcte !,Sequenz korrekt!
incorrect_exe_msg,"Sequence incorrect. Please, correctly type the sequence. You will repeat the trial.",Secuencia incorrecta. Por favor escribe la secuencia correctamente. Debes repetir el trial.,Séquence incorrecte. Veuillez saisir correctement la séquence. Vous allez répéter l'essai.,Sequenz inkorrekt. Bitte geben Sie die Sequenz korrekt ein. Der Durchgang wird wiederholt.
correct_ima_msg,Keys correct!,Teclas correctas!,Les clés sont correctes !,Tasten korrekt!
incorrect_ima_msg,Keys incorrect. You must start and finish with the same key. You will repeat the trial.,Teclas incorrectas.Tienes que empezar y terminar con la misma tecla. Debes repetir el trial.,Clés incorrectes. Vous devez commencer et terminer avec la même clé. Vous allez répéter l'essai.,Tasten inkorrekt. Sie müssen mit derselben Taste beginnen und enden. Der Durchgang wird wiederholt.
trial_complete_msg,Trial completed,Trial completado,Essai terminé,Durchgang abgeschlossen
correct_trials_msg,Correct trials: ,Ensayos correctos: ,Essais corrects : ,Korrekte Durchgänge:
visual_msg,Visual modality,Modalidad visual,Modalité visuelle,Visuelle Modalität
kine_msg,Kinesthetic modality,Modalidad cinestésica,Modalité kinesthetique,Kinästhetische Modalität
both_msg,Both modalities,Ambas modalidades,Les deux modalités,Beide Modalitäten
next_msg,Next,Siguiente,Suivant,Weiter
pre_prompt_exe_msg,"In the next trial, you will have to PHYSICALLY EXECUTE the movement.

Remember you have to press ALL the keys.","En el próximo intento, tienes que EJECUTAR FÍSICAMENTE el movimiento.

Recuerda que debes presionar TODAS las teclas.","Lors du prochain essai, vous devrez EXÉCUTER PHYSIQUEMENT le mouvement.

N'oubliez pas que vous devez appuyer sur TOUTES les touches.","Im nächsten Durchgang müssen Sie die Bewegung PHYSISCH AUSFÜHREN.

Denken Sie daran, ALLE Tasten zu drücken."
pre_prompt_ima_msg,"In the next trial, you will have to IMAGINE the movement

Please, focus on BOTH SEEING AND FEELING the movement

Remember you only need to press the FIRST and LAST keys","En el próximo intento, tienes que IMAGINAR el movimiento

Por favor concéntrate TANTO EN VER COMO EN SENTIR el movimiento

Recuerda que solo debes presionar la PRIMERA y la ÚLTIMA tecla","Lors du prochain essai, vous devrez IMAGINER le mouvement

Veuillez vous concentrer à la fois sur le fait de VOIR ET DE SENTIR le mouvement","Im nächsten Durchgang müssen Sie sich die Bewegung VORSTELLEN.

Bitte konzentrieren Sie sich sowohl auf das SEHEN als auch auf das FÜHLEN der Bewegung.

Denken Sie daran, dass Sie nur die ERSTE und LETZTE Taste drücken müssen."
prompt_exe_msg,"Physically EXECUTE this sequence
(press all keys).","EJECUTA físicamente esta secuencia
(presiona todas las teclas)","EXÉCUTEZ physiquement cette séquence
(appuyez sur toutes les touches).","Diese Sequenz PHYSISCH AUSFÜHREN
(alle Tasten drücken)."
prompt_ima_msg,"IMAGINE this sequence
(press only the First/Last keys).","IMAGINA esta secuencia
(presiona solo la Primera/Última tecla)","IMAGINEZ cette séquence
(appuyez uniquement sur les touches Première/Dernière).","Diese Sequenz VORSTELLEN
(nur die erste/letzte Taste drücken)."
age_question_msg,Please type in your age and hit ENTER,Escribe tu edad y pressiona ENTER,Indique ton âge et appuyez sur ENTER,Gib dein Alter ein und drücke die ENTER-Taste
age_msg,Age:,Edad:,Âge :,Alter:
gender_msg,Gender:,Género,Genre :,Geschlecht:
f_msg,Female,Mujer,Femme,Weiblich
m_msg,Male,Hombre,Homme,Männlich
tg_msg,Trans-gender,Transgénero,Transgenre,Transgender
nb_msg,Non-binary,No binario,Non binaire,Nicht-binär
o_msg,Other,Otro,Autre,Sonstiges
pns_msg,Prefer not saying,Prefiero no decirlo,Préfère ne pas le dire,Möchte ich nicht sagen
